,ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
0,MMM,179.42,179.88,180.91 x 800,181.58 x 1000,179.03 - 181.34,163.38 - 208.95,"2,041,707","2,252,300",104.313B,0.95,17.90,10.11,"Jan 25, 2022",5.92 (3.30%),"Nov 18, 2021",184.45
1,AOS,83.98,84.10,82.98 x 800,82.80 x 800,82.69 - 84.94,52.08 - 86.74,"627,558","1,004,258",13.201B,1.14,28.70,2.89,"Jan 27, 2022",1.12 (1.33%),"Oct 28, 2021",83.56
2,ABT,133.25,132.39,129.72 x 800,130.18 x 800,129.43 - 132.83,105.36 - 142.60,"6,675,188","5,441,139",229.259B,0.70,32.17,4.03,"Jan 26, 2022",1.88 (1.41%),"Jan 13, 2022",145.18
3,ABBV,135.88,135.00,133.57 x 800,133.73 x 800,132.90 - 135.12,101.81 - 138.15,"7,791,484","6,277,547",236.047B,0.82,31.82,4.20,"Feb 02, 2022",5.64 (4.12%),"Jan 13, 2022",138.26
4,ABMD,336.44,334.79,0.00 x 800,0.00 x 800,319.04 - 336.02,261.27 - 387.40,"434,240","250,388",14.526B,1.29,98.03,3.26,"Jan 26, 2022 - Jan 31, 2022",N/A (N/A),N/A,379.80
5,ACN,377.19,378.22,371.58 x 1100,371.72 x 800,370.57 - 379.28,241.73 - 417.37,"1,033,447","2,261,609",235.489B,1.16,38.73,9.61,"Mar 17, 2022",3.88 (1.03%),"Jan 12, 2022",N/A
6,ATVI,64.81,64.91,63.76 x 800,64.65 x 800,64.01 - 65.00,56.40 - 104.53,"10,066,154","12,152,500",49.981B,0.70,19.04,3.37,"Feb 03, 2022",0.47 (0.71%),"Apr 14, 2021",92.27
7,ADBE,532.37,532.22,517.58 x 800,516.50 x 800,516.32 - 535.21,420.78 - 699.54,"3,345,192","2,928,353",245.941B,1.00,51.59,10.02,"Mar 22, 2022",N/A (N/A),"Mar 24, 2005",664.36
8,AAP,239.88,240.64,235.77 x 1800,236.40 x 900,234.87 - 242.15,143.15 - 243.05,"810,386","631,552",14.764B,1.26,24.11,9.82,"Feb 14, 2022 - Feb 18, 2022",4.00 (1.67%),"Dec 16, 2021",254.69
9,AES,23.43,23.44,23.20 x 3200,23.45 x 800,23.22 - 23.68,22.60 - 29.07,"2,866,495","4,603,338",15.514B,N/A,29.99,0.78,"Feb 23, 2022 - Feb 28, 2022",0.63 (2.71%),"Jan 31, 2022",30.55
10,AFL,63.34,63.62,63.38 x 900,63.39 x 800,63.21 - 64.22,44.76 - 64.22,"2,811,684","3,134,139",41.961B,1.00,10.29,6.17,"Feb 02, 2022",1.60 (2.53%),"Feb 15, 2022",60.55
11,A,149.51,149.46,142.85 x 900,146.00 x 900,144.85 - 149.54,112.47 - 179.57,"1,471,782","1,605,217",43.841B,1.00,36.85,3.94,"Feb 14, 2022 - Feb 18, 2022",0.84 (0.57%),"Jan 03, 2022",N/A
12,AIG,61.37,61.79,61.85 x 800,61.79 x 800,61.55 - 62.25,36.80 - 62.54,"3,207,173","4,585,538",51.371B,1.39,9.70,6.38,"Feb 14, 2022 - Feb 18, 2022",1.28 (2.09%),"Dec 15, 2021",64.86
13,APD,299.75,299.12,294.47 x 800,294.57 x 1400,293.92 - 300.18,245.75 - 316.39,"654,164","1,002,973",65.239B,0.81,31.19,9.44,"Feb 04, 2022",6.00 (2.00%),"Dec 31, 2021",329.36
14,AKAM,114.11,114.24,113.16 x 900,113.15 x 800,112.72 - 114.81,92.64 - 124.91,"783,470","1,331,400",18.346B,0.54,31.01,3.64,"Feb 15, 2022",N/A (N/A),N/A,134.46
15,ALK,55.15,55.50,56.52 x 800,56.40 x 800,55.20 - 57.60,46.26 - 74.25,"1,815,917","1,887,544",7.086B,1.63,543.75,0.10,"Jan 27, 2022",N/A (N/A),"Feb 14, 2020",76.36
16,ALB,241.07,242.96,235.61 x 1100,235.89 x 800,234.52 - 246.79,133.82 - 291.48,"599,542","1,147,503",27.516B,1.54,126.06,1.87,"Feb 16, 2022",1.56 (0.65%),"Dec 16, 2021",261.05
17,ARE,209.84,208.28,196.00 x 1100,209.21 x 800,207.90 - 210.42,154.37 - 224.95,"1,287,189","701,433",33.412B,0.80,32.08,6.51,"Jan 31, 2022",4.60 (2.23%),"Dec 30, 2021",229.64
18,ALGN,548.91,547.45,559.08 x 1000,559.95 x 1000,535.32 - 561.16,494.45 - 737.45,"560,936","663,950",44.174B,1.57,60.38,9.28,"Feb 02, 2022",N/A (N/A),N/A,757.45
19,ALL,123.79,124.31,123.95 x 800,124.10 x 1200,123.87 - 125.44,102.55 - 140.00,"1,048,036","2,112,103",35.594B,0.85,11.46,10.83,"Feb 02, 2022",3.24 (2.62%),"Nov 29, 2021",131.57
20,GOOGL,"2,828.61","2,830.80","2,766.45 x 800","2,771.72 x 1100","2,768.18 - 2,857.00","1,711.71 - 3,019.33","1,460,161","1,553,836",1.842T,1.06,26.70,103.81,"Jan 31, 2022 - Feb 04, 2022",N/A (N/A),N/A,"3,334.16"
21,GOOG,"2,832.96","2,836.81","2,780.00 x 1000","2,786.00 x 1400","2,778.61 - 2,863.71","1,721.55 - 3,037.00","1,249,838","1,150,617",1.845T,1.06,26.81,103.81,N/A,N/A (N/A),N/A,"3,366.67"
22,MO,49.49,49.61,50.26 x 1300,50.27 x 3200,49.52 - 50.43,40.46 - 52.59,"7,672,459","8,306,865",92.419B,0.70,33.67,1.49,"Jan 27, 2022",3.60 (7.28%),"Dec 22, 2021",53.08
23,AMZN,"3,304.14","3,305.01","3,225.09 x 800","3,226.90 x 1400","3,221.82 - 3,324.43","2,881.00 - 3,773.08","2,562,205","3,251,715",1.635T,1.10,63.10,51.10,"Jan 31, 2022 - Feb 04, 2022",N/A (N/A),N/A,"4,108.80"
24,AMCR,12.12,12.18,12.12 x 1800,12.25 x 1100,12.02 - 12.20,10.33 - 12.92,"5,170,585","5,863,725",18.628B,0.43,20.02,0.61,"Jan 31, 2022 - Feb 04, 2022",0.48 (4.00%),"Nov 23, 2021",12.80
25,AMD,137.47,139.44,132.41 x 1200,131.98 x 900,131.81 - 141.25,72.50 - 164.46,"76,414,435","58,597,279",160.298B,1.87,40.94,3.24,"Jan 24, 2022 - Jan 28, 2022",N/A (N/A),"Apr 27, 1995",143.63
26,AAL,18.50,18.73,19.34 x 1300,19.35 x 2900,18.63 - 19.76,15.02 - 26.09,"55,600,879","34,828,819",12.523B,1.66,N/A,-5.18,"Jan 20, 2022",N/A (N/A),"Feb 04, 2020",19.00
27,AEP,90.29,90.26,90.69 x 1100,90.78 x 1400,89.91 - 91.58,74.80 - 91.58,"2,824,391","2,606,060",45.102B,0.36,19.08,4.76,"Feb 24, 2022",3.12 (3.48%),"Nov 09, 2021",97.91
28,AXP,174.47,174.92,173.29 x 800,173.32 x 1100,172.85 - 176.38,112.10 - 189.03,"3,626,600","3,744,347",134.223B,1.24,18.10,9.57,"Jan 25, 2022",1.72 (0.98%),"Jan 06, 2022",192.87
29,AMT,264.89,264.03,261.00 x 900,268.00 x 900,261.00 - 269.24,197.50 - 303.72,"2,244,354","1,740,680",121.404B,0.37,48.41,5.51,"Feb 23, 2022 - Feb 28, 2022",5.56 (2.09%),"Dec 23, 2021",304.40
30,AWK,169.18,169.14,167.83 x 800,167.88 x 800,167.53 - 170.33,131.01 - 189.65,"736,358","731,031",30.515B,0.31,40.04,4.20,"Feb 22, 2022 - Feb 28, 2022",2.41 (1.42%),"Feb 07, 2022",176.08
31,AMP,314.94,317.70,295.00 x 800,347.57 x 800,314.06 - 320.08,196.77 - 323.35,"453,108","538,230",35.715B,1.61,17.35,18.40,"Jan 25, 2022 - Jan 31, 2022",4.52 (1.44%),"Nov 05, 2021",339.33
32,ABC,130.45,131.11,0.00 x 1000,0.00 x 800,128.90 - 133.48,100.71 - 135.26,"1,106,632","889,046",27.707B,0.51,18.01,7.39,"Feb 02, 2022",1.84 (1.38%),"Nov 12, 2021",146.92
33,AMGN,231.76,232.05,230.89 x 1100,233.00 x 1100,230.33 - 233.20,198.64 - 276.69,"2,088,166","2,806,642",130.03B,0.64,23.80,9.70,"Jan 31, 2022 - Feb 04, 2022",7.76 (3.34%),"Feb 14, 2022",239.96
34,APH,87.46,87.80,86.96 x 1100,86.96 x 800,86.43 - 88.00,58.58 - 88.45,"1,003,284","1,909,468",51.873B,1.24,36.45,2.38,"Jan 25, 2022 - Jan 31, 2022",0.80 (0.91%),"Dec 20, 2021",85.64
35,ADI,173.75,175.61,169.78 x 800,170.50 x 800,169.24 - 176.27,142.25 - 191.95,"3,514,487","3,305,569",89.191B,1.11,49.07,3.46,"Feb 15, 2022 - Feb 21, 2022",2.76 (1.59%),"Dec 02, 2021",207.56
36,ANSS,403.59,404.68,405.29 x 800,406.00 x 1100,402.83 - 407.46,292.79 - 413.89,"35,456","349,017",35.52B,1.24,76.55,5.32,"Feb 22, 2022 - Feb 28, 2022",N/A (N/A),N/A,416.69
37,ANTM,451.83,449.93,444.00 x 800,447.51 x 1300,444.55 - 451.88,286.04 - 470.02,"516,677","1,083,842",108.452B,1.07,20.10,22.23,"Jan 26, 2022",4.52 (1.00%),"Dec 02, 2021",483.87
38,APA,32.65,32.66,32.00 x 1200,32.44 x 800,31.94 - 33.31,14.03 - 33.31,"8,061,663","9,585,679",11.657B,4.73,20.52,1.56,"Feb 22, 2022 - Feb 28, 2022",0.50 (1.56%),"Jan 20, 2022",35.59
39,AAPL,175.53,175.78,172.09 x 800,172.29 x 800,171.79 - 176.62,116.21 - 182.94,"81,572,060","91,203,723",2.813T,1.20,30.69,5.61,"Jan 27, 2022",0.88 (0.50%),"Nov 05, 2021",177.31
40,AMAT,159.55,164.00,156.51 x 900,157.50 x 1000,156.50 - 166.53,96.07 - 166.53,"12,234,360","6,997,717",139.656B,1.38,24.56,6.40,"Feb 16, 2022",0.96 (0.63%),"Feb 22, 2022",171.34
41,APTV,165.07,158.40,164.69 x 1100,163.83 x 900,157.72 - 162.28,127.21 - 180.81,"2,827,772","1,385,084",43.201B,2.07,54.30,2.94,"Feb 01, 2022 - Feb 07, 2022",N/A (N/A),"Feb 04, 2020",182.83
42,ADM,69.93,70.20,0.00 x 1000,0.00 x 1300,69.57 - 70.57,49.28 - 70.57,"2,433,040","2,360,023",39.429B,0.90,15.22,4.63,"Jan 24, 2022 - Jan 28, 2022",1.48 (2.12%),"Nov 16, 2021",71.00
43,ANET,131.54,131.67,0.00 x 1100,0.00 x 800,130.09 - 133.42,65.52 - 148.57,"1,088,049","2,286,973",40.926B,1.19,54.07,2.46,"Feb 16, 2022 - Feb 21, 2022",N/A (N/A),N/A,135.51
44,T,26.45,26.50,26.78 x 1100,26.74 x 1800,26.32 - 27.07,22.02 - 33.88,"48,576,143","54,014,085",191.379B,0.68,207.75,0.13,"Jan 26, 2022",2.08 (7.86%),"Jan 07, 2022",30.30
45,ATO,102.73,102.94,103.46 x 4000,103.51 x 1000,102.78 - 103.57,84.59 - 104.99,"130,363","1,034,395",13.707B,0.46,20.17,5.12,"Jan 31, 2022 - Feb 04, 2022",2.72 (2.65%),"Nov 26, 2021",110.22
46,ADSK,264.11,262.50,260.20 x 1800,264.96 x 800,258.49 - 266.64,245.05 - 344.39,"1,179,033","1,489,034",57.703B,1.41,44.25,5.93,"Feb 23, 2022 - Feb 28, 2022",N/A (N/A),"Mar 22, 2005",329.81
47,ADP,234.63,234.86,232.03 x 900,232.00 x 800,231.30 - 236.05,159.31 - 248.96,"1,068,423","1,452,001",97.732B,0.76,36.70,6.32,"Jan 26, 2022",4.16 (1.77%),"Dec 09, 2021",231.49
