,symbol,metric,value
0,MMM,Previous Close,179.42
1,MMM,Open,179.88
2,MMM,Bid,179.10 x 800
3,MMM,Ask,181.58 x 1000
4,MMM,Day's Range,179.03 - 181.34
5,MMM,52 Week Range,163.38 - 208.95
6,MMM,Volume,"1,665,668"
7,MMM,Avg. Volume,"2,252,300"
8,MMM,Market Cap,104.313B
9,MMM,Beta (5Y Monthly),0.95
10,MMM,PE Ratio (TTM),17.90
11,MMM,EPS (TTM),10.11
12,MMM,Earnings Date,"Jan 25, 2022"
13,MMM,Forward Dividend & Yield,5.92 (3.30%)
14,MMM,Ex-Dividend Date,"Nov 18, 2021"
15,MMM,1y Target Est,184.45
16,AOS,Previous Close,83.98
17,AOS,Open,84.10
18,AOS,Bid,82.98 x 800
19,AOS,Ask,82.80 x 800
20,AOS,Day's Range,82.67 - 84.95
21,AOS,52 Week Range,52.08 - 86.74
22,AOS,Volume,"696,583"
23,AOS,Avg. Volume,"1,004,258"
24,AOS,Market Cap,13.201B
25,AOS,Beta (5Y Monthly),1.14
26,AOS,PE Ratio (TTM),28.70
27,AOS,EPS (TTM),2.89
28,AOS,Earnings Date,"Jan 27, 2022"
29,AOS,Forward Dividend & Yield,1.12 (1.33%)
30,AOS,Ex-Dividend Date,"Oct 28, 2021"
31,AOS,1y Target Est,83.56
32,ABT,Previous Close,133.25
33,ABT,Open,132.39
34,ABT,Bid,129.72 x 800
35,ABT,Ask,130.18 x 800
36,ABT,Day's Range,129.43 - 132.83
37,ABT,52 Week Range,105.36 - 142.60
38,ABT,Volume,"6,904,267"
39,ABT,Avg. Volume,"5,441,139"
40,ABT,Market Cap,229.259B
41,ABT,Beta (5Y Monthly),0.70
42,ABT,PE Ratio (TTM),32.17
43,ABT,EPS (TTM),4.03
44,ABT,Earnings Date,"Jan 26, 2022"
45,ABT,Forward Dividend & Yield,1.88 (1.41%)
46,ABT,Ex-Dividend Date,"Jan 13, 2022"
47,ABT,1y Target Est,145.18
48,ABBV,Previous Close,135.88
49,ABBV,Open,135.00
50,ABBV,Bid,133.57 x 800
51,ABBV,Ask,133.73 x 800
52,ABBV,Day's Range,132.90 - 135.11
53,ABBV,52 Week Range,101.81 - 138.15
54,ABBV,Volume,"7,843,946"
55,ABBV,Avg. Volume,"6,277,547"
56,ABBV,Market Cap,236.047B
57,ABBV,Beta (5Y Monthly),0.82
58,ABBV,PE Ratio (TTM),31.82
59,ABBV,EPS (TTM),4.20
60,ABBV,Earnings Date,"Feb 02, 2022"
61,ABBV,Forward Dividend & Yield,5.64 (4.12%)
62,ABBV,Ex-Dividend Date,"Jan 13, 2022"
63,ABBV,1y Target Est,138.26
64,ABMD,Previous Close,336.44
65,ABMD,Open,334.79
66,ABMD,Bid,0.00 x 800
67,ABMD,Ask,0.00 x 800
68,ABMD,Day's Range,319.04 - 336.02
69,ABMD,52 Week Range,261.27 - 387.40
70,ABMD,Volume,"434,240"
71,ABMD,Avg. Volume,"250,388"
72,ABMD,Market Cap,14.526B
73,ABMD,Beta (5Y Monthly),1.29
74,ABMD,PE Ratio (TTM),98.03
75,ABMD,EPS (TTM),3.26
76,ABMD,Earnings Date,"Jan 26, 2022 - Jan 31, 2022"
77,ABMD,Forward Dividend & Yield,N/A (N/A)
78,ABMD,Ex-Dividend Date,N/A
79,ABMD,1y Target Est,379.80
80,ACN,Previous Close,377.19
81,ACN,Open,378.22
82,ACN,Bid,371.58 x 1100
83,ACN,Ask,371.72 x 800
84,ACN,Day's Range,370.57 - 379.28
85,ACN,52 Week Range,241.73 - 417.37
86,ACN,Volume,"1,033,447"
87,ACN,Avg. Volume,"2,261,609"
88,ACN,Market Cap,235.489B
89,ACN,Beta (5Y Monthly),1.16
90,ACN,PE Ratio (TTM),38.73
91,ACN,EPS (TTM),9.61
92,ACN,Earnings Date,"Mar 17, 2022"
93,ACN,Forward Dividend & Yield,3.88 (1.03%)
94,ACN,Ex-Dividend Date,"Jan 12, 2022"
95,ACN,1y Target Est,N/A
96,ATVI,Previous Close,64.81
97,ATVI,Open,64.91
98,ATVI,Bid,63.76 x 800
99,ATVI,Ask,64.65 x 800
100,ATVI,Day's Range,64.01 - 65.00
101,ATVI,52 Week Range,56.40 - 104.53
102,ATVI,Volume,"10,066,154"
